Category,SubCategory,Type,Name,SegmentId,SegmentIdLong,Last Compute Day,Description
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Page-Visit_Iqos 3_1x180,MZgiogOc,tl4r98oi2,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Page-Visit_shipping information_1x180,MZgjTjF5,tl4sgyi9n,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Site-Visitor_Frequency_1-5x180,MZgnl5yf,tl4tnr1e5,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Site-Visitor_Frequency_1-5x30,MhE_JFLJ,tsrqxmzp3,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Site-Visitor_Frequency_1-5x7,MhE5Wx3i,tsrpbud7o,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Site-Visitor_Frequency_1-5x90,MhFabo2b,tsryh8ao9,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Site-Visitor_Frequency_11+x180,MZgpM6Bn,tl4t3ur45,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Site-Visitor_Frequency_11+x30,MhFykZwC,tsr47bslw,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Site-Visitor_Frequency_11+x7,MhFxIb4o,tsr4sy2c6,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Site-Visitor_Frequency_11+x90,MhFzWn9u,tsr5e5y30,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Site-Visitor_Frequency_1x180,Mj1shjDC,tu6wvwlsk,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Site-Visitor_Frequency_6-10x180,MZgp6jLi,tl4uay8fo,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Site-Visitor_Frequency_6-10x30,MhFqvjkg,tsr205pki,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Site-Visitor_Frequency_6-10x7,MhFt3h56,tsr3wdamk,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Site-Visitor_Frequency_6-10x90,MhFrPpUM,tsr2550e2,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Site-Visitor_Frequency_Allx180,MWxOr9rb,tjqa5buct,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Site-Visitor_Frequency_Returning User,Mj1tQx_E,tu6w29zrq,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Status_Newly Registered_1x180,MZgreeaV,tl4uqkoiv,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Status_Not Registered_1x180,MZgsrRli,tl4u2j6wk,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Iqos-NZ_Status_Registered_1x180,MZg8D2Jw,tl4zb75qa,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Media-Exposure_Exposed_1x180,MZg9In4x,tl4zmyldv,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Media-Exposure_Impressions_1-5x180,MZg-I8Iu,tl4zwzyrk,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Media-Exposure_Impressions_11-50x180,MZg_AkH8,tl4z5oh22,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Media-Exposure_Impressions_51+x180,MZhMmn4l,tl43xg19j,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Media-Exposure_Impressions_6-10x180,MZhM9xDo,tl43023h2,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Media-Interaction_Clicks_1x180,MZhBVHFd,tl40su4rz,2019-04-09,
Personas,New Zealand,Analytics,NZ_Analytics_1PD_Media-Interaction_Clicks_2+x180,MZhB0DQA,tl40xoy2q,2019-04-09,
Personas,Philippines,Analytics,PH_Analytics_1PD_Media-Exposure_Exposed_1x180,Ml1ZYAnM,twxwj8hge,2019-04-09,
Personas,Japan,Analytics,P_Analytics_1PD_Iqos-JP_Site-Visitor_Frequency_1-5x30,MhE_aU8L,tsrq0bv55,2019-04-09,
Personas,Singapore,Analytics,SG_Analytics_1PD_Media-Exposure_Exposed_1x180,Ml1ZyZBc,twxwocpny,2019-04-09,
Personas,Thailand,Analytics,TH_Analytics_1PD_Media-Exposure_Exposed_1x180,Ml1aYPwS,twxwt9eo0,2019-04-09,
Personas,Vietnam,Analytics,VN_Analytics_1PD_Media-Exposure_Exposed_1x180,Ml1aJGvm,twxwrwb44,2019-04-09,
